Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GradeClass
16,0,0,2,9.745491915039295,1,0,3,0,0,0,0,0.0
15,0,1,2,12.826077656033112,14,0,0,1,0,0,0,0.0
18,0,0,1,4.247405624271285,26,0,3,0,0,0,0,0.0
18,0,2,0,19.718885156091243,2,0,1,1,0,0,0,0.0
16,0,3,2,16.130726178376847,11,0,2,0,0,0,0,0.0
15,1,2,0,9.581297807457894,2,0,3,1,0,0,0,0.0
15,0,0,1,19.264153192845452,1,0,4,0,0,0,0,0.0
15,0,0,2,19.506934953812028,0,0,2,0,1,0,0,0.0
16,0,0,1,13.788255902685254,0,0,3,0,0,0,0,0.0
16,0,1,2,15.552611047043351,6,0,0,0,0,0,0,0.0
16,0,1,1,16.021487363603796,3,1,2,0,0,0,0,0.0
15,0,0,0,10.501505528995274,28,0,3,0,0,0,0,0.0
17,0,0,2,18.290802162611925,3,1,2,1,0,0,1,0.0
16,0,1,2,9.661956280315565,1,1,2,0,0,0,0,0.0
18,1,1,1,5.932000052254989,0,0,3,0,0,0,0,0.0
17,0,0,2,17.976693788389433,10,0,3,0,0,0,0,0.0
17,0,0,1,6.869571445507327,0,0,4,0,0,0,0,0.0
15,0,1,1,2.1709654767682265,14,1,2,0,0,0,0,0.0
16,1,1,2,14.234724313837907,1,0,2,1,0,0,0,0.0
15,1,0,1,17.9175450096902,1,0,1,1,0,0,0,0.0
18,1,0,2,8.406555303283225,0,0,3,1,0,0,0,0.0
16,0,0,2,16.37775620158506,2,1,1,1,0,0,0,0.0
18,0,1,1,18.755722881275474,1,0,2,0,0,0,0,0.0
15,0,2,1,17.367083872896433,1,1,1,0,1,0,0,0.0
16,0,1,2,15.386768837762135,6,0,1,0,0,0,0,0.0
16,0,0,0,4.0639248332948466,26,0,4,0,0,0,0,0.0
15,0,0,3,1.190651231783971,8,0,1,0,0,0,0,0.0
17,0,1,2,15.788407133820755,2,1,2,1,0,0,1,0.0
15,0,0,1,19.013436619170406,0,0,3,0,0,0,0,0.0
15,0,1,1,3.157788046820709,18,1,3,0,0,0,0,0.0
15,0,2,1,19.47012152977069,5,0,2,1,0,0,0,0.0
16,0,2,2,8.826409109651095,1,1,3,0,1,0,0,0.0
18,1,0,1,5.947035157848512,0,0,3,0,0,0,0,0.0
15,0,0,1,8.956792855751075,2,0,3,0,0,0,0,0.0
15,0,2,0,12.33056700505724,6,0,2,0,0,0,0,0.0
16,0,0,1,15.927483600774313,16,0,1,0,0,0,0,0.0
15,0,1,2,19.244277501591117,4,1,3,1,1,0,0,0.0
15,0,0,1,18.597015632636122,1,0,4,0,0,0,0,0.0
15,0,1,1,15.476677605880557,5,1,3,0,1,0,0,0.0
15,0,0,1,19.333286586142826,0,0,3,0,0,0,0,0.0
15,1,0,2,18.950360646377593,2,0,2,1,1,0,0,0.0
17,1,0,1,13.848569778960028,2,1,2,1,0,0,0,0.0
15,0,1,1,2.2574030694211475,5,1,2,0,0,0,0,0.0
18,1,0,1,8.578152113293747,0,0,4,0,0,0,0,0.0
16,0,2,1,4.907193951306522,18,1,3,1,0,0,0,0.0
16,0,0,1,13.944172224963438,21,0,3,0,0,0,0,0.0
17,1,0,2,8.872756041148634,0,1,3,1,0,0,0,0.0
16,0,2,2,18.506173384879315,10,0,1,0,0,0,0,0.0
16,0,2,2,18.03880567671444,9,0,2,0,0,0,0,0.0
15,0,1,1,16.195734839316327,3,1,1,0,1,0,0,0.0
16,0,0,1,13.726134279813031,13,0,1,0,0,0,0,0.0
16,0,0,1,18.70377553380604,0,0,3,0,0,0,0,0.0
15,0,2,2,5.443663572284523,6,0,1,0,0,0,0,0.0
17,0,1,2,2.2795669310911695,20,1,3,0,0,0,0,0.0
16,0,0,1,13.83782356813076,0,0,3,0,0,0,0,0.0
15,0,0,0,10.1996682221027,28,0,3,0,0,0,0,0.0
17,0,1,0,18.67484122386316,0,0,3,0,0,0,0,0.0
17,1,2,2,16.902591240290622,9,0,3,0,0,0,0,0.0
17,0,0,2,17.692918616318185,3,1,2,1,0,0,1,0.0
16,1,0,1,18.53769310573374,0,0,2,1,0,0,0,0.0
16,0,0,0,18.360909875521873,0,0,4,0,0,0,0,0.0
16,0,2,0,12.91619064579525,6,1,3,1,1,0,0,0.0
15,1,2,0,9.736851431330102,1,0,2,1,0,0,0,0.0
15,0,0,1,7.574172359855647,5,0,2,0,0,0,0,0.0
16,0,0,1,14.997792209857693,15,0,1,0,0,0,0,0.0
18,1,0,1,7.371987820848486,0,0,2,0,0,0,0,0.0
17,0,1,2,9.657763725616615,1,0,2,1,0,0,0,0.0
16,0,2,2,18.597191048840525,7,1,3,1,1,0,0,0.0
17,1,2,2,15.739251574273267,10,0,3,0,0,0,0,0.0
15,0,1,1,15.841047745747062,3,1,2,0,0,0,0,0.0
17,0,1,2,16.722448725153836,3,1,1,0,0,0,0,0.0
18,0,2,0,19.86687063742872,2,0,2,1,0,0,0,0.0
17,0,0,1,18.122560159754727,0,0,2,0,0,0,0,0.0
16,0,0,2,14.134471569249897,1,1,3,0,1,0,0,0.0
17,0,0,2,6.443510290115363,0,0,3,0,0,1,0,0.0
15,0,0,1,19.271703445057053,2,0,4,0,0,0,0,0.0
15,0,2,1,17.38938048903416,1,1,1,1,1,0,0,0.0
15,0,1,1,2.6204324070396146,4,1,3,1,0,0,0,0.0
16,0,0,0,19.001548496234037,0,0,4,0,0,0,0,0.0
16,0,1,2,1.7221752516946243,2,0,2,0,0,0,0,0.0
16,0,0,2,14.165115789270187,1,1,3,0,1,0,0,0.0
17,0,0,2,8.75540950945696,0,1,4,0,0,0,0,0.0
16,0,0,2,14.780038993939455,1,1,3,0,1,0,0,0.0
15,0,0,1,19.42258847608815,0,0,3,0,0,0,0,0.0
15,0,1,1,12.125478090872752,9,0,1,0,0,0,0,0.0
15,0,1,2,5.967700099406369,6,0,1,0,0,0,0,0.0
16,0,2,2,18.992279399802236,6,1,3,1,1,0,0,0.0
16,0,2,0,12.149859370519978,0,1,1,0,0,0,0,0.0
17,0,1,2,16.084522522796135,3,1,1,0,0,0,0,0.0
17,0,0,3,3.2923922910927184,18,0,3,0,0,0,0,0.0
16,0,0,2,16.363402361967353,2,1,1,1,0,0,0,0.0
16,0,0,1,18.343946239439028,0,0,3,0,0,0,0,0.0
15,0,2,1,18.06466286559853,1,0,1,1,0,0,0,0.0
15,0,1,1,3.3486952259910368,4,1,3,1,0,0,0,0.0
15,0,0,1,19.263613475487112,0,0,4,0,0,0,0,0.0
15,1,0,2,17.632597244354645,1,0,1,1,1,0,0,0.0
16,0,0,1,8.76944092874156,0,1,4,0,0,1,0,0.0
17,0,0,2,18.28501173817597,9,0,3,0,1,0,0,0.0
15,0,1,1,19.504601251693614,3,0,2,1,0,0,0,0.0
15,0,0,2,11.111199598376636,0,0,3,0,0,0,0,0.0
16,0,0,1,9.648915667343747,0,1,2,0,0,0,0,0.0
17,1,1,2,13.976605427456597,2,1,2,1,0,0,0,0.0
17,0,1,0,19.252034794634064,0,0,3,1,0,0,0,0.0
15,0,0,1,18.338902787302892,0,0,4,0,0,0,0,0.0
16,0,1,1,12.706096871725743,0,0,1,1,0,0,0,0.0
17,1,0,2,18.698927209510224,3,1,3,1,1,0,0,0.0
15,1,0,1,17.255944077109536,1,0,1,1,0,0,0,0.0
16,0,1,1,17.785523780897737,19,0,3,0,0,0,0,0.0
16,0,0,3,3.268100299287688,13,0,2,0,0,0,0,0.0
16,0,2,2,18.0423239449116,9,0,2,0,0,0,0,0.0
16,0,2,1,14.344852834705614,11,0,3,0,0,0,0,0.0
17,1,0,1,15.04451594285576,1,1,3,0,1,0,0,0.0
17,0,1,1,9.0021526567572,1,1,3,0,1,0,0,0.0
16,0,1,2,15.88719288997686,3,1,2,1,0,0,0,0.0
17,0,0,1,18.139888948341646,0,0,2,0,0,0,0,0.0
15,0,2,2,8.551042544473018,0,1,3,0,1,0,0,0.0
18,0,1,1,17.16613723793361,2,0,1,0,0,0,0,0.0
17,0,1,1,17.061692148839306,3,1,1,0,1,0,0,0.0
16,0,0,2,8.242161303438118,0,1,4,0,0,0,0,0.0
16,0,1,2,2.6284899911089368,19,1,3,0,0,0,0,0.0
16,0,2,0,12.220022971779088,0,1,1,0,0,0,0,0.0
16,0,2,1,5.185463358907291,18,1,3,1,0,0,0,0.0
16,1,1,2,5.499763534642136,0,0,3,0,0,0,0,0.0
15,1,0,1,13.464491240300225,0,0,3,0,0,0,0,0.0
16,0,0,1,8.91388757956846,0,1,2,0,1,1,0,0.0
17,0,2,0,12.592814310313106,0,1,1,0,0,0,0,0.0
16,1,2,1,9.674975090069859,1,0,2,1,0,0,0,0.0
15,0,2,0,14.270291201410664,4,1,2,0,1,0,0,0.0
16,0,0,1,9.403667920638076,1,1,3,0,0,0,0,0.0
15,0,0,3,1.2315113253672312,10,0,2,0,0,0,0,0.0
15,0,0,1,15.432078078597542,25,0,3,0,0,0,0,0.0
16,0,0,0,18.48174657019134,0,0,4,0,0,0,0,0.0
17,0,2,0,19.61242333196931,2,0,0,1,0,0,0,0.0
15,0,1,1,17.202433500830505,1,1,1,1,1,0,0,0.0
17,0,1,2,15.936948932656483,2,1,2,1,0,0,1,0.0
15,0,1,1,3.5099386873741323,17,0,3,0,0,0,0,0.0
16,0,2,2,1.6109921374926304,5,0,1,1,0,0,0,0.0
17,1,0,2,8.908663573785274,0,1,3,1,0,0,0,0.0
15,0,0,3,1.7420925435561017,1,0,3,0,0,0,0,0.0
16,0,1,2,15.806494625530629,4,0,1,0,0,0,0,0.0
18,0,1,0,19.517109813297715,2,1,0,0,0,0,0,0.0
16,0,0,2,8.29786606533529,0,1,4,0,0,1,0,0.0
15,1,0,2,17.493258631386727,1,1,1,1,1,0,0,0.0
17,1,0,2,8.877154202254173,0,1,3,1,0,0,0,0.0
17,0,0,3,4.181843916455413,17,0,3,0,0,0,0,0.0
17,0,0,2,4.770099989510669,16,0,3,0,0,0,0,0.0
17,0,1,1,17.063251626392145,3,1,1,0,1,0,0,0.0
15,0,0,1,9.643336411875204,1,0,3,0,0,0,0,0.0
15,0,1,2,6.100014123376958,6,0,1,0,0,0,0,0.0
17,1,2,2,9.072141881351007,1,1,2,1,0,0,0,0.0
17,0,1,2,4.438013331066031,0,0,1,0,0,1,0,0.0
15,0,0,2,9.688830639821765,0,1,3,0,0,0,0,0.0
17,0,2,0,12.597774723725184,0,1,1,0,0,0,0,0.0
17,0,0,2,17.49472567783237,3,1,2,1,0,0,1,0.0
16,1,1,1,9.622922851365983,0,1,2,0,0,0,0,0.0
17,0,0,1,9.003683118854862,1,1,3,0,1,0,0,0.0
15,1,1,2,5.474647046476272,2,0,3,1,0,0,0,0.0
15,0,0,3,1.6052971630900659,2,0,3,0,0,0,0,0.0
17,0,1,0,13.156712183310033,0,0,2,0,0,0,0,0.0
17,0,0,1,11.037627591474156,25,1,3,0,0,0,0,0.0
17,1,0,1,14.795147088199315,1,1,3,0,1,0,0,0.0
17,0,0,1,8.872813898835485,0,1,4,0,0,0,0,0.0
16,0,0,1,14.174287895369469,2,1,3,0,1,0,0,0.0
17,1,1,2,14.1094057470191,2,1,2,1,0,0,0,0.0
16,0,0,1,18.1312993642509,10,0,2,0,0,0,0,0.0
16,1,1,1,9.560610142990868,0,1,2,0,0,0,0,0.0
18,1,0,2,8.341770401095834,0,0,3,1,0,0,0,0.0
17,0,0,0,13.200178648270699,1,1,2,0,0,0,0,0.0
16,0,0,1,9.46460943455731,0,1,2,0,0,0,0,0.0
15,1,2,2,12.419313916312142,13,0,0,0,0,0,0,0.0
17,0,0,2,6.0117763349715645,24,1,3,0,0,0,0,0.0
16,0,2,0,19.596125348207796,2,0,0,1,0,0,0,0.0
15,1,0,1,13.245860655436712,0,0,3,0,0,0,0,0.0
17,0,1,0,12.724633996329016,0,0,2,0,0,0,0,0.0
15,0,2,1,17.39971118538304,1,1,1,0,1,0,0,0.0
15,0,1,1,19.556130955140073,3,0,2,1,0,0,0,0.0
17,1,0,1,13.782553203948007,2,1,2,1,0,0,0,0.0
16,1,1,2,5.681759909640409,0,0,3,0,0,0,0,0.0
15,0,1,1,3.2884198713542903,4,1,3,1,0,0,0,0.0
15,0,2,1,17.837469453821537,1,0,1,1,0,0,0,0.0
15,0,1,1,19.35546206416231,3,0,2,1,0,0,0,0.0
17,1,0,2,18.70928472241613,3,1,3,1,1,0,0,0.0
15,0,1,1,19.50602119680818,3,0,2,1,0,0,0,0.0
15,0,0,1,19.287044094388698,0,0,3,0,0,0,0,0.0
17,0,1,2,14.415032393033462,2,1,2,1,0,0,1,0.0
15,0,1,1,19.382744456273958,3,0,2,1,0,0,0,0.0
15,0,1,1,1.7546725951351643,6,1,2,0,0,0,0,0.0
17,0,1,1,4.053754674697597,0,0,1,0,0,0,0,0.0
17,1,2,2,14.647465491240684,10,0,3,0,0,0,0,0.0
18,1,0,1,8.461876713191693,0,0,4,0,0,0,0,0.0
15,0,0,1,19.264960871493415,0,0,3,0,0,0,0,0.0
16,0,0,1,8.83276820379445,0,1,2,0,0,1,0,0.0
16,1,0,1,9.155539277772233,0,1,2,0,0,0,0,0.0
15,0,0,2,1.9924967985312692,0,1,2,0,0,1,0,0.0
17,0,1,1,5.858272769529447,0,0,3,0,0,0,0,0.0
18,1,0,1,6.17329978157074,0,0,3,0,0,0,0,0.0
16,0,0,1,9.19903637671873,0,1,2,0,0,0,0,0.0
16,0,2,2,18.189680447097743,9,0,2,0,0,0,0,0.0
15,0,2,0,19.566743003592702,2,0,1,1,0,0,0,0.0
17,0,0,1,8.881493938169596,0,1,4,0,0,0,0,0.0
16,0,1,1,19.027668102783576,1,0,1,0,0,0,0,0.0
15,0,0,2,7.292260949967949,1,1,4,0,0,0,0,0.0
16,1,0,0,18.571625293069857,0,0,3,1,0,0,0,0.0
17,0,2,1,11.181487557793393,0,0,2,0,0,1,0,0.0
16,1,1,2,5.516905788177931,0,0,3,0,0,0,0,0.0
16,0,0,1,13.773077365874878,13,0,1,0,0,0,0,0.0
17,0,2,1,19.82580376040677,2,0,2,1,0,0,0,0.0
17,0,1,2,9.6474405355551,1,0,2,1,0,0,0,0.0
15,0,0,2,9.687361837341257,1,1,3,0,0,0,0,0.0
16,0,0,2,13.376079942652611,0,0,3,0,0,0,0,0.0
17,0,0,1,8.892245872084056,0,1,4,0,0,0,0,0.0
16,0,0,0,9.047657212624499,1,0,3,0,0,1,0,0.0
15,0,2,0,10.16027786284502,2,0,3,1,0,0,0,0.0
15,0,0,2,12.917024049830623,0,0,3,0,0,0,0,0.0
16,0,0,1,18.343475830300612,0,0,3,0,0,0,0,0.0
15,1,0,2,5.660108976980555,1,0,3,0,0,0,0,0.0
17,0,1,2,14.407791357773164,2,1,2,1,0,0,1,0.0
15,0,1,1,18.510931963740152,1,0,1,1,0,0,0,0.0
15,0,2,1,8.590599481932838,0,1,2,0,1,0,0,0.0
17,0,0,1,10.83176402827965,26,1,3,0,0,0,0,0.0
18,0,0,1,5.819694880986757,27,0,3,0,0,0,0,0.0
17,1,2,2,15.689613287161603,10,0,3,0,0,0,0,0.0
15,0,2,2,8.566850236814036,0,1,3,0,1,0,0,0.0
17,0,1,1,3.6121123133082382,21,0,3,0,0,0,0,0.0
18,0,0,1,4.9279964881876515,27,0,3,0,0,0,0,0.0
15,0,1,1,3.084312841216776,18,1,3,0,0,0,0,0.0
16,0,0,2,8.41665244319615,0,1,4,0,0,1,0,0.0
16,0,0,2,9.573170914283116,0,1,3,0,0,0,0,0.0
17,0,1,2,4.516478409533646,0,0,1,0,0,1,0,0.0
15,0,1,1,17.504129488960604,22,0,3,0,0,0,0,0.0
15,0,1,2,6.251678846685944,6,0,1,0,0,0,0,0.0
17,1,0,1,13.8621862505506,2,1,2,1,0,0,0,0.0
16,0,1,2,2.564415059539185,0,0,0,0,0,0,0,0.0
16,0,1,1,2.290408833327434,4,0,3,0,0,0,0,0.0
15,0,0,1,13.39262049171469,14,0,0,1,0,0,0,0.0
15,0,1,1,19.428627505251693,2,0,1,1,0,0,0,0.0
15,0,0,2,10.524815919591394,0,0,3,0,0,0,0,0.0
16,0,1,2,19.294527600870435,5,1,3,1,1,0,0,0.0
17,1,2,2,14.895023236421826,10,0,3,0,0,0,0,0.0
15,0,2,0,12.316340404763853,5,0,3,1,0,0,0,0.0
15,0,2,2,8.683181656897911,0,1,3,0,1,0,0,0.0
16,1,0,2,18.765555417046233,3,1,3,1,1,0,0,0.0
16,0,1,1,13.13190031601843,0,0,2,1,0,0,0,0.0
16,0,2,1,18.778176646398176,15,0,2,0,0,0,0,0.0
15,0,1,1,2.174960028984213,5,1,2,0,0,0,0,0.0
16,0,0,1,13.97764345562319,0,0,3,0,0,0,0,0.0
17,0,1,2,16.440522821508075,10,0,3,0,0,0,0,0.0
16,0,0,2,15.63722783335514,2,1,2,0,0,0,0,0.0
15,0,0,1,13.607926110624854,26,0,3,1,0,0,0,0.0
16,0,2,0,19.58331877450105,2,0,1,1,0,0,0,0.0
15,0,1,1,2.7470158388633057,4,1,3,1,0,0,0,0.0
16,0,1,0,13.724297698357915,0,0,2,0,0,0,0,0.0
15,0,0,2,12.082672600543834,0,0,3,0,0,0,0,0.0
17,0,1,1,4.913460002927769,19,0,3,0,0,0,0,0.0
16,0,0,1,13.934498790326046,0,0,3,0,0,0,0,0.0
16,0,1,1,14.476272934313487,6,1,3,1,1,0,0,0.0
15,1,0,1,17.97505718275667,1,0,1,1,0,0,0,0.0
15,1,2,2,11.974855578929477,9,0,1,0,0,0,0,0.0
18,1,0,1,7.356604412100311,0,0,4,0,0,0,0,0.0
15,0,0,2,1.9827279171434595,2,1,3,0,0,0,0,0.0
15,0,1,2,12.946153502324405,14,0,0,1,0,0,0,0.0
15,0,0,3,1.7463684683543117,1,0,3,0,0,0,0,0.0
18,1,0,2,6.188202765211414,0,0,3,0,0,0,0,0.0
15,0,0,1,18.985479801561652,3,0,2,1,0,0,0,0.0
18,0,0,1,18.827685056374605,3,0,3,1,0,0,0,0.0
15,0,0,1,8.18129137584899,4,0,3,0,0,0,0,0.0
17,0,2,2,14.955853654490687,10,0,3,0,0,0,0,0.0
16,0,1,1,13.186806261630338,0,0,2,1,0,0,0,0.0
15,1,0,2,18.8583383344005,3,1,3,1,1,0,0,0.0
15,0,0,2,11.527237789514492,0,0,3,0,0,0,0,0.0
16,1,2,2,14.212259336663383,11,0,3,0,0,0,0,0.0
15,0,1,1,8.675878412612878,0,1,2,0,1,0,0,0.0
16,0,0,1,15.632484414019935,21,0,3,0,0,0,0,0.0
15,0,0,1,7.583855708878891,5,0,2,0,0,0,0,0.0
16,0,2,2,17.93386161460011,10,0,0,0,0,0,0,0.0
17,1,0,2,8.86415165090941,0,1,3,1,0,0,0,0.0
15,0,0,1,13.38505418023043,13,0,1,0,0,0,0,0.0
16,0,1,1,14.418057178523924,6,1,3,1,1,0,0,0.0
16,1,1,2,15.931988446192491,7,0,0,0,0,0,0,0.0
15,0,0,1,13.572063324432365,14,0,0,1,0,0,0,0.0
16,0,1,3,1.5118550624605636,3,0,2,0,0,0,0,0.0
15,0,1,2,5.762562134101156,5,0,2,0,0,0,0,0.0
17,0,0,2,10.546801647007658,3,0,3,0,0,0,0,0.0
16,0,0,1,13.972840649403619,0,0,3,0,0,0,0,0.0
16,0,0,2,16.478702673692943,2,1,1,1,0,0,0,0.0
16,0,2,2,19.169659975927814,7,0,2,0,0,0,0,0.0
17,0,1,2,2.854855984099286,0,0,0,0,0,1,0,0.0
15,0,0,1,19.261209717797804,0,0,4,0,0,0,0,0.0
16,0,1,1,15.940928791428652,3,1,2,0,0,0,0,0.0
18,0,2,0,19.86345623361565,2,0,2,1,0,0,0,0.0
15,0,0,1,9.706646754500815,1,0,3,0,0,0,0,0.0
18,0,1,0,18.225644497747897,1,0,1,0,0,0,0,0.0
15,0,0,2,15.23000215704426,26,0,3,0,0,0,0,0.0
15,0,1,1,12.226689123925418,0,0,1,0,0,0,0,0.0
16,0,0,2,16.0465869120754,7,0,0,0,0,0,0,0.0
18,1,1,1,5.95129309495971,0,0,3,0,0,0,0,0.0
15,0,1,2,19.35897226400359,5,1,3,1,1,0,0,0.0
17,0,1,1,9.002616845098045,1,1,3,0,1,0,0,0.0
16,0,0,2,4.228832500579128,16,0,3,0,0,0,0,0.0
16,0,2,0,12.372003565494138,0,1,1,0,0,0,0,0.0
16,0,0,2,10.105836475578032,2,0,3,0,0,0,0,0.0
15,0,1,2,6.716144743459387,6,0,1,0,0,0,0,0.0
15,0,0,2,13.285032664007295,0,0,3,0,0,0,0,0.0
17,1,0,2,8.894551046075554,0,1,3,1,0,0,0,0.0
16,0,1,1,18.787525224364956,18,0,2,0,0,0,0,0.0
16,0,1,2,14.297887763154852,2,1,2,0,0,0,0,0.0
16,0,0,1,13.868149690071848,0,0,3,0,0,0,0,0.0
17,0,1,1,4.753322730118605,19,0,3,0,0,0,0,0.0
15,0,0,3,1.1970270271464807,6,0,2,0,0,0,0,0.0
15,0,0,1,18.71442051160873,1,0,4,0,0,0,0,0.0
